Criterion medians at commit a4b520b45, criterion baseline 'mimalloc'.

value_parser_bench
  Parse/corpus                                                3.4431 µs
  Parse/short_value                                           28.250 ns
  Parse/nested_functions                                      207.63 ns
  Parse/font_shorthand                                        295.42 ns
  Stringify/corpus                                            897.12 ns
  RoundTrip/corpus                                            4.2907 µs
  Unit/words                                                  29.935 ns

css_types_bench
  Color/parse_color_red                                       1.6043 µs
  Color/parse_color_#ff0000                                   1.6363 µs
  Color/parse_color_#fff                                      1.6290 µs
  Color/parse_color_rgb(255, 0, 0)                            1.9509 µs
  Color/parse_color_rgba(255, 0, 0, 0.5)                      2.3651 µs
  Color/parse_color_hsl(0, 100%, 50%)                         2.6051 µs
  Color/parse_color_hsla(0, 100%, 50%, 0.8)                   3.0020 µs
  Color/parse_color_transparent                               1.6640 µs
  Color/parse_color_rebeccapurple                             1.6624 µs
  Length/parse_length_10px                                    897.75 ns
  Length/parse_length_1.5em                                   865.07 ns
  Length/parse_length_100%                                    1.0856 µs
  Length/parse_length_50vh                                    880.63 ns
  Length/parse_length_2rem                                    866.44 ns
  Length/parse_length_0                                       875.70 ns
  Length/parse_length_3.14159in                               932.22 ns
  Length/parse_length_25vw                                    891.56 ns
  Length/parse_length_12pt                                    913.90 ns
  Angle/parse_angle_45deg                                     809.11 ns
  Angle/parse_angle_1.57rad                                   803.70 ns
  Angle/parse_angle_50grad                                    807.73 ns
  Angle/parse_angle_0.25turn                                  805.35 ns
  Angle/parse_angle_0deg                                      784.26 ns
  Angle/parse_angle_360deg                                    811.31 ns
  Angle/parse_angle_2π rad                                    989.77 ns
  Calc/parse_calc_calc(100px + 20px)                          472.92 ns
  Calc/parse_calc_calc(50% - 10px)                            434.67 ns
  Calc/parse_calc_calc(2 * 3)                                 387.13 ns
  Calc/parse_calc_calc(100vh / 2)                             436.39 ns
  Calc/parse_calc_calc(100% + 20px - 10px)                    714.70 ns
  Calc/parse_calc_calc(pi)                                    187.85 ns
  Calc/parse_calc_calc(e * 2)                                 417.19 ns
  BlendMode/parse_blend_mode_normal                           440.54 ns
  BlendMode/parse_blend_mode_multiply                         450.64 ns
  BlendMode/parse_blend_mode_screen                           441.34 ns
  BlendMode/parse_blend_mode_overlay                          469.43 ns
  BlendMode/parse_blend_mode_darken                           441.63 ns
  BlendMode/parse_blend_mode_lighten                          471.13 ns
  BlendMode/parse_blend_mode_color-dodge                      472.82 ns
  BlendMode/parse_blend_mode_color-burn                       459.03 ns
  BlendMode/parse_blend_mode_hard-light                       463.32 ns
  BlendMode/parse_blend_mode_soft-light                       467.77 ns
  BlendMode/parse_blend_mode_difference                       457.25 ns
  BlendMode/parse_blend_mode_exclusion                        457.61 ns
  BlendMode/parse_blend_mode_hue                              432.90 ns
  BlendMode/parse_blend_mode_saturation                       458.03 ns
  BlendMode/parse_blend_mode_color                            436.72 ns
  BlendMode/parse_blend_mode_luminosity                       458.21 ns
  Flex/parse_flex_1fr                                         533.16 ns
  Flex/parse_flex_2.5fr                                       536.32 ns
  Flex/parse_flex_0fr                                         515.78 ns
  Flex/parse_flex_10fr                                        552.73 ns
  Flex/parse_flex_0.25fr                                      551.37 ns
  CustomIdent/parse_custom_ident_my-custom-ident              500.31 ns
  CustomIdent/parse_custom_ident_button-style                 489.64 ns
  CustomIdent/parse_custom_ident_nav-item                     463.34 ns
  CustomIdent/parse_custom_ident_CamelCase                    467.80 ns
  CustomIdent/parse_custom_ident_snake_case                   471.02 ns
  CustomIdent/parse_custom_ident_kebab-case-identifier        503.61 ns
  CustomIdent/parse_custom_ident_veryLongIdentifierNameThatCouldBeUsedInRealWorldScenarios  554.75 ns
  Position/parse_position_left top                            2.7089 µs
  Position/parse_position_center center                       2.7019 µs
  Position/parse_position_right bottom                        2.7134 µs
  Position/parse_position_left                                3.5193 µs
  Position/parse_position_center                              3.7663 µs
  Position/parse_position_right                               3.5500 µs
  Position/parse_position_top                                 3.8032 µs
  Position/parse_position_bottom                              3.8128 µs
  Position/parse_position_50% 25%                             5.5863 µs
  Position/parse_position_10px 20px                           7.2860 µs
  ParserComparison/create_parsers                             3.3598 µs
  ParserComparison/parse_complex_values                       4.3436 µs

properties_bench
