crate                               src      tests    benches
postcss-value-parser               7776          0        133
stylex-ast                         3056          0          0
stylex-atoms                       1410          0          0
stylex-constants                   3075          0          0
stylex-css-parser                 53624          0        771
stylex-css                        18955          0        267
stylex-enums                        475          0          0
stylex-evaluator                    892        401          0
stylex-js                          2917          0          0
stylex-logs                         217          0          0
stylex-macros                       769          0          0
stylex-path-resolver               3688         24          0
stylex-regex                        196          0          0
stylex-rs-compiler                 2763          0          0
stylex-structures                  4224         13          0
stylex-styleq                       609        902        358
stylex-test-parser                  426          0          0
stylex-transform                  60708      48807       2977
stylex-types                        965          0          0
stylex-utils                       4849          0          0
